AnneeDeSortie;NomDuTitre;NomDeArtiste;Pays;Langue;Label;YouTube;Spotify;Image;Phrases
2010;Waka Waka (This Time for Africa);Shakira;Colombie;Anglais, Espagnol;Epic;3879299586;797860836;assets\img\2010-wakawaka.jpeg;Cette chanson, associée à la Coupe du Monde de la FIFA en Afrique du Sud, a capturé un sentiment d'unité et de célébration mondiale.
2011;Someone Like You;Adele;Royaume-Uni;Anglais;XL Recordings;2166069548;1844100357;assets\img\2011-SomeOneLikeYou.jpeg;
2012;Gangnam Style;Psy;Coree du Sud;Coréen;YG Entertainment;5086644868;456204580;assets\img\2012-GangnamStyle.png;
2013;Blurred Lines;Robin Thicke;États-Unis;Anglais;Star Trak, Interscope;884000000;828233808;assets\img\2013-BlurredLines.jpg;
2013;Happy;Pharrell Williams;États-Unis;Anglais;Back Lot Music, Columbia;1200000000;1332078697;assets\img\2014-Happy.jpg;
2015;Hello;Adele;Royaume-Uni;Anglais;XL Recordings;3100000000;1518146851;assets\img\2015-Hello.jpg;
2016;One Dance;Drake;Canada;Anglais;OVO Sound, Young Money, Cash Money, Republic;28000000;3039977173;assets\img\2016-OneDance.jpg;
2017;Shape of You;Ed Sheeran;Royaume-Uni;Anglais;Asylum, Atlantic;6221080167;3812887371;assets\img\2017-shapeofyou.png;
2018;God's Plan;Drake;Canada;Anglais;OVO Sound, Young Money, Cash Money, Republic;1500000000;2457073465;assets\img\2018-GodPlan.jpeg;
2019;Old Town Road;Lil Nas X;États-Unis;Anglais;Columbia;1200000000;992255339;assets\img\2019-OldTownRoad.jpg;
2019;Blinding Lights;The Weeknd;Canada;Anglais;XO, Republic;805000000;4118353016;assets\img\2020-BlindingLights.jpeg;
